,Source,ddof1,ddof2,F,p-unc,np2,"('control', '7d')","('control', '14d')","('7d', '14d')",X868-ready.bam,X36-ready.bam,X679-ready.bam,X582-ready.bam,X1247-ready.bam,X1249-ready.bam,X838-ready.bam,X839-ready.bam,X840-ready.bam,gene,var
191177393,type,2,6,3.4980968410767703,0.09840229470317334,0.5383263633382719,0.6293927028252718,0.08814573091773115,0.2918048733530779,1.55049032600053,1.4848657909765848,1.3017332861690838,1.472874560183291,1.1934992381919756,1.206896551724138,1.3303769401330376,0.8771929824561403,0.903954802259887,Atf3,0.058434334023203874
45524093,type,2,4,15.263244003040237,0.013421936299251584,0.8841469193363785,0.5328740168473464,0.012265347768594337,0.03800343560965047,0.16987542468856173,0.32388663967611336,0.11641443538998836,0.1607200257152041,0.18484288354898337,,,0.5208333333333334,0.7575757575757576,Ppp1r15a,0.05657313541552126
25222917,type,2,5,4.505405868889064,0.07607934536815811,0.6431327396600282,0.07047307685252036,0.47479074233067975,0.23929536540980634,,0.5669737774627923,0.23952095808383234,0.3023177695666779,0.8143322475570033,0.7096575131132367,0.6153846153846154,0.2079002079002079,0.5376344086021505,Tubb4b,0.05060306232963584
134075996,type,2,5,8.811422347596828,0.022964499021605238,0.7789844704604157,0.876053487844334,0.024512555928980162,0.03781905895874682,0.29716700785841643,0.21164021164021163,0.03195228458834807,0.15124980098710397,0.15791551519936833,0.2582125950365801,0.7476635514018691,,0.4728132387706856,Btg2,0.05047942068752404
95050619,type,2,6,3.9798553021364724,0.07940073192162392,0.5701916629873793,0.9,0.09765690026347573,0.12419511111675274,0.1562614449300486,0.2982422742559807,0.22609088853719195,0.2281469690940443,0.17049443385818874,0.21781315591461725,0.24955436720142601,0.7954545454545454,0.5899705014749262,Jun,0.04761707347486169
191177361,type,2,6,3.6785371500859845,0.09063996429604282,0.5507998334693136,0.7563796106209053,0.21427671628041456,0.08718493834940655,0.3457814661134163,0.2578427159432746,0.2520478890989288,0.37576757400788197,0.16910935738444194,0.27493508477165113,0.8645533141210374,0.46511627906976744,0.3811944091486658,Atf3,0.04123859496037261
19304066,type,2,6,26.60914320711878,0.0010401266948360261,0.8986799456163013,0.761626698047504,0.0013673469712518482,0.0024473813792258436,0.344751589950255,0.45118649854888665,0.2758654362579952,0.27727624451895794,0.281214848143982,0.28608173013831656,0.7417102966841187,0.6917755572636434,0.6145603529782541,Fosb,0.03705116364977447
55490795,type,2,5,14.891236146809604,0.007834727415907622,0.8562494362737625,0.5714190090293452,0.007536759662164938,0.0173285259990541,0.07001400280056011,0.2401129943502825,0.02494076568150642,0.032298002906820264,0.04767580452920143,0.04055619930475087,0.4479283314669653,0.37488284910965325,,Nfkbia,0.02928928018251403
101270947,type,2,5,6.628946787343115,0.039246265067111506,0.7261458459297692,0.9,0.060019556915274164,0.042590519921192116,0.011982505541908814,0.0324517280545189,0.14419063519769296,0.023609405987345358,0.040983606557377046,0.01452854859799506,0.20669698222405952,0.5029337803855826,,Nr4a1,0.028670504429014514
19303186,type,2,5,5.165419939023196,0.06074494477613161,0.6738600076855574,0.4637399520612342,0.19208110883924379,0.0522156661672295,0.3161841094900402,0.4170905391658189,0.32535137948984905,0.33506075768406,0.6072106261859582,0.2796953106403237,0.12269938650306748,,0.1356391997287216,Fosb,0.023810279974807246
85476922,type,2,3,22.059294174689754,0.01606547149890659,0.9363308599622021,0.7719381829733369,0.025572385732018588,0.018156105963192837,0.05838052425710783,,,0.05045125847861427,0.03389830508474576,0.009873617693522907,0.35714285714285715,,0.2469898116702686,Fos,0.020062705856141356
101266880,type,2,4,5.346162377705788,0.07412060303608295,0.7277490072817311,0.8374847177834092,0.08291665710820617,0.10807525853419098,0.006817097279978185,0.05645464809936018,,0.026263262947788635,0.0449034575662326,0.0822513365842195,0.4,,0.15698587127158556,Nr4a1,0.018639824571814352
33996630,type,2,5,7.541735332859751,0.030926309307879544,0.751039046824984,0.15468201246254754,0.026075487103429107,0.25285942890406343,0.02902757619738752,0.17663683466792274,0.047664442326024785,,0.14379868184541642,0.25674432863274066,0.4219409282700422,0.22975301550832855,0.2613524991832734,H2-K1,0.0161617690351614
19303256,type,2,5,4.65940574943579,0.07205391473585394,0.6508090074100051,0.9,0.09979063837656388,0.08017536755475718,0.09024530314217738,0.0319642000958926,0.07069635913750442,0.15554518587649713,0.10960906101571063,0.12826492537313433,0.43956043956043955,,0.1951854261548471,Fosb,0.015965457836727977
95050977,type,2,6,4.273845885475038,0.07015707572337598,0.5875634365596575,0.462384750444667,0.2980490633203783,0.06016903826067699,0.2047673008488897,0.08118433619866285,0.18281044170228783,0.15730337078651685,0.08445232666159953,0.08904132176895425,0.46449900464499005,0.3133159268929504,0.14443277310924368,Jun,0.015891256477436215
134076819,type,2,4,5.6381786134424,0.0685615096436255,0.7381574716673674,0.1566420599028142,0.07326954024040766,0.7631033087865688,0.2204874560514868,,0.23736524577193155,0.13867362753895096,0.39032006245121,0.33816425120772947,,0.32733224222585927,0.5099439061703213,Btg2,0.015025839929373938
33996446,type,2,6,6.432814264730909,0.03216917437251918,0.6819612985260468,0.0423185068946863,0.05398705190097197,0.9,0.37374445223078717,0.0364265549585648,0.19087612139721322,0.32492851572654013,0.05757328599529818,0.17619420516836334,0.035161744022503515,0.11123470522803114,0.1621183463928668,H2-K1,0.0147179661859011
19302798,type,2,3,90.99705858962159,0.0020651186319971273,0.9837832681074217,0.9,0.0027201906871587855,0.0028086261832312998,0.02170767004341534,,,0.0024729826643915226,0.021867483052700636,0.00727802037845706,,0.2604166666666667,0.21949078138718173,Fosb,0.013922371785863738
134076574,type,2,4,7.429689156945564,0.04498474239168099,0.7879039312205882,0.9,0.04846231234298426,0.07332705874908996,0.085667215815486,,0.13904061972390505,0.10610883735031075,0.03779289493575208,0.20225003160156743,,0.291970802919708,0.3602676273803397,Btg2,0.01359891921000437
19302760,type,2,5,4.511167606796325,0.07592313775230737,0.6434260111573132,0.5396465799058874,0.06599865047905418,0.21081658969297057,0.07050889025137952,0.020496003279360523,0.02388687177527231,0.03471564728902354,0.17555705604321403,0.13529274550968043,,0.32180209171359614,0.1635322976287817,Fosb,0.01068227634625976
95049770,type,2,5,4.908378950652292,0.06615185833858736,0.6625442601340095,0.8572590052791564,0.06594349389566789,0.1712445351329004,0.020226537216828478,,0.10035122930255895,0.011470520761642579,0.0945179584120983,0.060123252667969335,0.27586206896551724,0.2706359945872801,0.10256410256410256,Jun,0.01050981792127477
